codeSp	GrSIH	codeSIH	ISSCAAP	TAXOCODE	codeFAO	codeFB	phylum	categ_bent	classe	ordre	Famille	Genre	espece	identifiant	taille_max	L50	cryptique	mobilite	territorialite	nocturne	comp_gr	agreg_saison	posi_col_eau	strat_demo	ponte	habitat_pref	chgmt_sexe	Trophique_2015	statutIUCN	coeffA	coeffB	niveau_taxo_ab
Abudvaig	PO	-999	-999	NA	NA	6630	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	vaigiensis	Abudefduf_vaigiensis	23	-999	N	MO	NA	DI	NA	NA	P	4	NA	CO	NA	PL	NA	0,022562179	3,132017677	ge
Abudwhit	PO	-999	-999	NA	NA	9626	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	whitleyi	Abudefduf_whitleyi	14	-999	N	MO	NA	DI	NA	NA	P	4	NA	NA	NA	PL	NA	0,025435258	3,092681479	sp
Acanachi	PO	-999	-999	NA	NA	4306	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	achilles	Acanthurus_achilles	25	-999	N	TM	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanalbi	PO	-999	-999	NA	NA	13770	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	albipectoralis	Acanthurus_albipectoralis	35	-999	N	TM	NA	DI	NA	NA	D	3	NA	NA	NA	PL	NA	0,028032882	2,98288421	ge
Acanaura	PO	-999	-999	NA	NA	4748	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	auranticavus	Acanthurus_auranticavus	45	-999	N	MO	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanbahi	PO	-999	33	1740200402	AQB	942	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	bahianus	Acanthurus_bahianus	38	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	HE	NA	0,0348	2,6894	NA
Acanbari	PO	-999	33	1740200405	AQR	4307	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	bariene	Acanthurus_bariene	50	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	0,028	2,983	NA
Acanberd	PO	-999	33	1703933001	MLB	5526	chordata	NA	Actinopterygii	Perciformes	Sparidae	Acanthopagrus	berda	Acanthopagrus_berda	90	-999	N	TM	NA	DN	NA	NA	B	3	NA	NA	NA	CA	NA	0,02234706	3,043787933	sp
Acanbloc	PO	-999	-999	NA	NA	4750	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	blochii	Acanthurus_blochii	45	-999	N	MO	NA	DI	NA	NA	B	3	NA	CO	NA	HE	NA	0,025055962	3,031929247	sp
Acanbrev	PA	-999	-999	NA	NA	-999	cnidaria	CS	Anthozoa	Scleractinia	Mussidae	Acanthastrea	brevis	Acanthastrea_brevis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanchir	PO	-999	33	1740200410	AQH	943	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	chirurgus	Acanthurus_chirurgus	39	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	HE	NA	0,0282	2,8137	NA
Acancoer	PO	-999	33	1740200403	AQO	944	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	coeruleus	Acanthurus_coeruleus	39	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	HE	NA	0,0415	2,8346	NA
Acanduss	PO	-999	-999	NA	NA	1256	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	dussumieri	Acanthurus_dussumieri	54	-999	N	MO	NA	DI	NA	NA	B	5	NA	CO	NA	HE	NA	0,042561181	2,868263525	sp
Acanechi	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Acanthastrea	echinata	Acanthastrea_echinata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acangesp.	PO	3368	33	17402XXXXX	SUR	-999	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	ge.	sp.	Acanthuridae	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acangram	NA	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	grammoptilus	Acanthurus_grammoptilus	-999	-999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-999	-999	NA
Acangutt	PO	-999	-999	NA	NA	4736	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	guttatus	Acanthurus_guttatus	25	-999	N	MO	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanhemp	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Acanthastrea	hemprichii	Acanthastrea_hemprichii	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanhill	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Acanthastrea	hillae	Acanthastrea_hillae	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanleuc	PO	-999	-999	NA	NA	4741	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	leucocheilus	Acanthurus_leucocheilus	45	-999	N	TM	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanleuco	PO	-999	-999	NA	NA	4737	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	leucopareius	Acanthurus_leucopareius	24	-999	N	MO	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanleucs	PO	-999	-999	NA	NA	1257	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	leucosternon	Acanthurus_leucosternon	54	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	0,028	2,983	NA
Acanline	PO	-999	33	1740200413	AQI	1258	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	lineatus	Acanthurus_lineatus	38	-999	N	SE	NA	DI	NA	NA	B	3	NA	CO	NA	HE	NA	0,028032882	2,98288421	ge
Acanlord	PA	-999	-999	NA	NA	-999	cnidaria	CM	Anthozoa	Scleractinia	Mussidae	Acanthastrea	lordhowensis	Acanthastrea_lordhowensis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanmata	PO	-999	-999	NA	NA	1255	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	mata	Acanthurus_mata	50	-999	N	TM	NA	DI	NA	NA	D	3	NA	CO	NA	PL	NA	0,022241884	3,007953028	sp
Acannigr	PO	-999	-999	NA	NA	6011	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	nigricans	Acanthurus_nigricans	21	-999	N	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acannigrf	PO	-999	33	1740200414	AQN	4739	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	nigrofuscus	Acanthurus_nigrofuscus	21	-999	N	SE	NA	DI	NA	NA	B	2	NA	CO	NA	HE	NA	0,026370479	3,028366711	sp
Acannigri	PO	-999	-999	NA	NA	4747	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	nigricauda	Acanthurus_nigricauda	40	-999	N	MO	NA	DI	NA	NA	B	3	NA	CO	NA	HE	NA	0,016784756	3,167724687	sp
Acannigro	PO	-999	-999	NA	NA	4738	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	nigroris	Acanthurus_nigroris	25	-999	N	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acannubi	PO	-999	-999	NA	NA	4733	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	nubilus	Acanthurus_nubilus	26	-999	N	TM	NA	DI	NA	NA	D	3	NA	NA	NA	PL	NA	0,028032882	2,98288421	ge
Acanoliv	PO	-999	33	1740200408	AQV	4744	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	olivaceus	Acanthurus_olivaceus	35	-999	N	MO	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanplan	EC	-999	-999	NA	NA	-999	echinodermata	NA	Stelleroidea	Valvatida	Acanthasteridae	Acanthaster	planci	Acanthaster_planci	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanpoly	PO	-999	33	1900100902	NCY	4287	chordata	NA	Actinopterygii	Tetraodontiformes	Ostraciidae	Acanthostracion	polygonius	Acanthostracion_polygonius	50	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanpolya	PO	-999	33	1706200301	AIL	6655	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Acanthochromis	polyacanthus	Acanthochromis_polyacanthus	14	-999	N	SE	NA	DI	NA	NA	P	2	NA	NA	NA	HE	NA	0,020908767	3,190800285	fa
Acanpolyz	PO	-999	-999	NA	NA	4732	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	polyzona	Acanthurus_polyzona	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanpyro	PO	-999	-999	NA	NA	4742	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	pyroferus	Acanthurus_pyroferus	25	-999	N	SE	NA	DI	NA	NA	B	3	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanquad	PO	-999	33	1900100901	NCQ	92	chordata	NA	Actinopterygii	Tetraodontiformes	Ostraciidae	Acanthostracion	quadricornis	Acanthostracion_quadricornis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanrotu	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Acanthastrea	rotundoflora	Acanthastrea_rotundoflora	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acansola	PO	3611	36	1750101001	WAH	89	chordata	NA	Actinopterygii	Perciformes	Scombridae	Acanthocybium	solandri	Acanthocybium_solandri	250	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	L	NA	PI	NA	-999	-999	NA
Acansp.	PO	-999	-999	NA	NA	200012	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	sp.	Acanthurus_sp.	-999	-999	N	MO	NA	DI	NA	NA	B	4	NA	NA	NA	HE	NA	0,028032882	2,98288421	ge
Acanspic	VE	-999	92	7872200702	KHI	-999	plantae	NA	Florideophyceae	Ceramiales	Rhodomelaceae	Acanthophora	spicifera	Acanthophora_spicifera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acantenn	PO	-999	-999	NA	NA	1259	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	tennentii	Acanthurus_tennentii	31	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	0,028	2,983	NA
Acanthom	PO	-999	-999	NA	NA	4734	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	thompsoni	Acanthurus_thompsoni	27	-999	N	MO	NA	DI	NA	NA	D	3	NA	CO	NA	PL	NA	0,028032882	2,98288421	ge
Acanthsp.	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Mussidae	Acanthastrea	sp.	Acanthastrea_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acantrio	PO	-999	33	1740200411	AQT	1260	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	triostegus	Acanthurus_triostegus	27	-999	N	TM	NA	DI	NA	NA	B	2	NA	CO	NA	HE	NA	0,083063451	2,569683389	sp
Acantsp.	PA	-999	-999	NA	NA	-999	porifera	NA	Demospongiae	Halichondrida	Axinellidae	Acanthella	sp.	Acanthella_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acanxant	PO	-999	-999	NA	NA	1261	chordata	NA	Actinopterygii	Perciformes	Acanthuridae	Acanthurus	xanthopterus	Acanthurus_xanthopterus	70	-999	N	TM	NA	DI	NA	NA	B	5	NA	CO	NA	HE	NA	0,026730455	2,984486638	sp
Acenaust	PO	-999	33	1510601501	AQA	46103	chordata	NA	Actinopterygii	Syngnathiformes	Syngnathidae	Acentronura	australe	Acentronura_australe	6	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	CA	NA	-999	-999	NA
Acenbont	PO	-999	-999	NA	NA	11660	chordata	NA	Actinopterygii	Perciformes	Gobiidae	Acentrogobius	bontii	Acentrogobius_bontii	8	-999	NA	SE	NA	DI	NA	NA	B	1	NA	NA	NA	CA	NA	0,026387532	2,622565603	fa
Acengrac	PO	-999	-999	NA	NA	7994	chordata	NA	Actinopterygii	Syngnathiformes	Syngnathidae	Acentronura	gracilissima	Acentronura_gracilissima	6	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	CA	NA	-999	-999	NA
Acentent	PO	-999	-999	NA	NA	16862	chordata	NA	Actinopterygii	Syngnathiformes	Syngnathidae	Acentronura	tentaculata	Acentronura_tentaculata	6	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	CA	NA	-999	-999	NA
Acetcren	VE	-999	-999	NA	NA	-999	plantae	NA	Ulvophyceae	Dasycladales	Dasycladaceae	Acetabularia	crenulata	Acetabularia_crenulata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acreradi	PO	-999	-999	NA	NA	7974	chordata	NA	Actinopterygii	Tetraodontiformes	Monacanthidae	Acreichthys	radiatus	Acreichthys_radiatus	7	-999	N	SE	NA	DI	NA	NA	B	1	NA	NA	NA	CA	NA	0,012224814	3,032756806	fa
Acroabro	PA	-999	-999	NA	NA	-999	cnidaria	ACS	Anthozoa	Scleractinia	Acroporidae	Acropora	abrotanoides	Acropora_abrotanoides	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroacul	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	aculeus	Acropora_aculeus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroacum	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	acuminata	Acropora_acuminata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroanth	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	anthocercis	Acropora_anthocercis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroappr	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	appressa	Acropora_appressa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroarab	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	arabensis	Acropora_arabensis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroaspe	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	aspera	Acropora_aspera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroaust	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	austera	Acropora_austera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrobifu	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	bifurcata	Acropora_bifurcata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrobran	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	branchi	Acropora_branchi	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrobranc	PA	-999	-999	NA	NA	-999	cnidaria	ACB	NA	NA	fa.	ge.	sp.	Acropore_branchu	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrobrue	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	brueggemanni	Acropora_brueggemanni	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocard	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	carduus	Acropora_carduus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocaro	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	caroliniana	Acropora_caroliniana	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocere	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	cerealis	Acropora_cerealis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocerv	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	Acropora_cervicornis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroches	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	chesterfieldensis	Acropora_chesterfieldensis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroclat	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	clathrata	Acropora_clathrata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocopi	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	copiosa	Acropora_copiosa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocune	PA	-999	-999	NA	NA	-999	cnidaria	ACS	Anthozoa	Scleractinia	Acroporidae	Acropora	cuneata	Acropora_cuneata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrocyth	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	cytherea	Acropora_cytherea	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodana	PA	-999	-999	NA	NA	-999	cnidaria	ACS	Anthozoa	Scleractinia	Acroporidae	Acropora	danai	Acropora_danai	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodend	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	dendrum	Acropora_dendrum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodigi	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	Acropora_digitifera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodigit	PA	-999	-999	NA	NA	-999	cnidaria	ACD	NA	NA	fa.	ge.	sp.	Acropore_digit?	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodiva	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	divaricata	Acropora_divaricata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrodone	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	donei	Acropora_donei	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroechi	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	echinata	Acropora_echinata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroelse	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	elseyi	Acropora_elseyi	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroencr	PA	-999	-999	NA	NA	-999	cnidaria	ACE	NA	NA	fa.	ge.	sp.	Acropore_encro?t?	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroexqu	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	exquisita	Acropora_exquisita	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroflor	PA	-999	77	6190200103	KQO	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	florida	Acropora_florida	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroform	PA	-999	77	6190200104	KQM	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	formosa	Acropora_formosa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrofors	PA	-999	-999	NA	NA	-999	cnidaria	ACB	Anthozoa	Scleractinia	Acroporidae	Acropora	forskali	Acropora_forskali	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acrogemm	PA	-999	-999	NA	NA	-999	cnidaria	ACD	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	Acropora_gemmifera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Acroglau	PA	-999	-999	NA	NA	-999	cnidaria	ACT	Anthozoa	Scleractinia	Acroporidae	Acropora	glauca	Acropora_glauca	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
